Volatility 3 Framework 2.8.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
*** 756	692	lsass.exe	0x822c8798	24	437	0	False	2010-09-02 12:25:22.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe
** 668	596	csrss.exe	0x821f2978	14	471	0	False	2010-09-02 12:25:21.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\csrss.exe	C:\WINDOWS\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ProfileControl=Off MaxRequestThreads=16	\??\C:\WINDOWS\system32\csrss.exe
1752	1720	explorer.exe	0x821b2020	22	520	0	False	2010-09-02 12:25:25.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\explorer.exe	C:\WINDOWS\Explorer.EXE	C:\WINDOWS\Explorer.EXE
* 2404	1752	ImmunityDebugge	0x82066478	2	85	0	False	2010-09-09 19:56:19.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe	"C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe" "C:\Documents and Settings\Administrator\Desktop\b98679df6defbb3dc0e12463880c9dd7.exe"	C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe
** 3772	2404	b98679df6defbb3	0x81f4bb28	1	46	0	False	2010-09-09 19:56:19.000000 UTC	N/A	\Device\HarddiskVolume1\Documents and Settings\Administrator\Desktop\b98679df6defbb3dc0e12463880c9dd7.exe	"C:\Documents and Settings\Administrator\Desktop\b98679df6defbb3dc0e12463880c9dd7.exe"	C:\Documents and Settings\Administrator\Desktop\b98679df6defbb3dc0e12463880c9dd7.exe
*** 3276	3772	ihah.exe	0x81e87da0	1	45	0	False	2010-09-09 19:56:32.000000 UTC	N/A	\Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Obyt\ihah.exe	"C:\Documents and Settings\Administrator\Application Data\Obyt\ihah.exe"	C:\Documents and Settings\Administrator\Application Data\Obyt\ihah.exe
* 1900	1752	SharedIntApp.ex	0x822b96c0	3	75	0	False	2010-09-02 12:25:25.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Parallels\Parallels Tools\SIA\SharedIntApp.exe	"C:\Program Files\Parallels\Parallels Tools\SIA\SharedIntApp.exe" /start	C:\Program Files\Parallels\Parallels Tools\SIA\SharedIntApp.exe
* 1932	1752	ImmunityDebugge	0x82282380	2	86	0	False	2010-09-08 19:23:02.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe	"C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe" "C:\Documents and Settings\Administrator\Desktop\vaelh.exe"	C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe
** 952	1932	vaelh.exe	0x8223c020	2	40	0	False	2010-09-08 19:23:02.000000 UTC	N/A	\Device\HarddiskVolume1\Documents and Settings\Administrator\Desktop\vaelh.exe	"C:\Documents and Settings\Administrator\Desktop\vaelh.exe"	C:\Documents and Settings\Administrator\Desktop\vaelh.exe
* 3788	1752	ImmunityDebugge	0x81ffb6d8	2	103	0	False	2010-09-08 22:39:40.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe	"C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe" "C:\Documents and Settings\Administrator\Desktop\anaxu.exe"	C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe
** 3508	3788	anaxu.exe	0x8219e5c8	2	54	0	False	2010-09-08 22:39:40.000000 UTC	N/A	\Device\HarddiskVolume1\Documents and Settings\Administrator\Desktop\anaxu.exe	"C:\Documents and Settings\Administrator\Desktop\anaxu.exe"	C:\Documents and Settings\Administrator\Desktop\anaxu.exe
* 1936	1752	jusched.exe	0x8212ada0	1	43	0	False	2010-09-02 12:25:26.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Java\jre6\bin\jusched.exe	"C:\Program Files\Java\jre6\bin\jusched.exe" 	C:\Program Files\Java\jre6\bin\jusched.exe
* 1908	1752	prl_cc.exe	0x820ee580	14	133	0	False	2010-09-02 12:25:25.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Parallels\Parallels Tools\prl_cc.exe	"C:\Program Files\Parallels\Parallels Tools\prl_cc.exe" 	C:\Program Files\Parallels\Parallels Tools\prl_cc.exe
* 2972	1752	ImmunityDebugge	0x82001ad0	2	87	0	False	2010-09-08 19:14:36.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe	"C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe" "C:\Documents and Settings\Administrator\Desktop\nifek_locked.exe"	C:\Program Files\Immunity Inc\Immunity Debugger\ImmunityDebugger.exe
** 2204	2972	nifek_locked.ex	0x8207bda0	2	38	0	False	2010-09-08 19:14:36.000000 UTC	N/A	\Device\HarddiskVolume1\Documents and Settings\Administrator\Desktop\nifek_locked.exe	"C:\Documents and Settings\Administrator\Desktop\nifek_locked.exe"	C:\Documents and Settings\Administrator\Desktop\nifek_locked.exe
